EXPORT FROM MATLAB: GPS_orbit_est.m 

 * Coordinates ORS (xF, yF) || Coordinates ITRF (x, y, z) || Coordinates phi, lambda, h ell
 -23771548.799461  12049523.630193        0.000000 || -20013744.763752  14504799.254861   9966863.656504 ||        0.383850         2.514454  20275886.518814 
 -23823868.726694  11946193.651093        0.000000 || -19996268.847041  14470814.073867  10051519.093780 ||        0.387278         2.515153  20276138.456833 
 -23875737.172390  11842637.281974        0.000000 || -19978659.031567  14436547.164362  10135984.046405 ||        0.390703         2.515860  20276388.974832 
 -23927153.163746  11738856.490345        0.000000 || -19960916.808228  14401998.435189  10220256.918008 ||        0.394125         2.516576  20276638.065193 
 -23978115.736489  11634853.247838        0.000000 || -19943043.670081  14367167.805630  10304336.115894 ||        0.397544         2.517300  20276885.720309 
 -24028623.934893  11530629.530168        0.000000 || -19925041.112283  14332055.205412  10388220.051066 ||        0.400960         2.518032  20277131.932581 
 -24078676.811794  11426187.317099        0.000000 || -19906910.632015  14296660.574722  10471907.138262 ||        0.404373         2.518772  20277376.694421 
 -24128273.428606  11321528.592404        0.000000 || -19888653.728421  14260983.864213  10555395.795979 ||        0.407783         2.519521  20277619.998254 
 -24177412.855340  11216655.343834        0.000000 || -19870271.902539  14225025.035015  10638684.446504 ||        0.411189         2.520278  20277861.836513 
 -24226094.170622  11111569.563074        0.000000 || -19851766.657233  14188784.058742  10721771.515940 ||        0.414592         2.521045  20278102.201645 
 -24274316.461701  11006273.245711        0.000000 || -19833139.497126  14152260.917501  10804655.434238 ||        0.417992         2.521820  20278341.086107 
 -24322078.824475  10900768.391198        0.000000 || -19814391.928534  14115455.603902  10887334.635221 ||        0.421389         2.522604  20278578.482371 
 -24369380.363501  10795057.002811        0.000000 || -19795525.459397  14078368.121060  10969807.556617 ||        0.424782         2.523396  20278814.382919 
 -24416220.192011  10689141.087617        0.000000 || -19776541.599214  14040998.482607  11052072.640087 ||        0.428172         2.524198  20279048.780248 
 -24462597.431930  10583022.656438        0.000000 || -19757441.858972  14003346.712697  11134128.331247 ||        0.431558         2.525010  20279281.666866 
 -24508511.213889  10476703.723807        0.000000 || -19738227.751081  13965412.846010  11215973.079706 ||        0.434941         2.525830  20279513.035297 
 -24553960.677241  10370186.307938        0.000000 || -19718900.789306  13927196.927761  11297605.339085 ||        0.438320         2.526660  20279742.878079 
 -24598944.970078  10263472.430685        0.000000 || -19699462.488698  13888699.013702  11379023.567052 ||        0.441696         2.527499  20279971.187764 
 -24643463.249243  10156564.117506        0.000000 || -19679914.365530  13849919.170129  11460226.225345 ||        0.445068         2.528348  20280197.956918 
 -24687514.680347  10049463.397422        0.000000 || -19660257.937226  13810857.473885  11541211.779803 ||        0.448436         2.529207  20280423.178123 
 -24731098.437780   9942172.302987        0.000000 || -19640494.722292  13771514.012363  11621978.700393 ||        0.451800         2.530075  20280646.843978 
 -24774213.704733   9834692.870242        0.000000 || -19620626.240254  13731888.883513  11702525.461235 ||        0.455161         2.530954  20280868.947095 
 -24816859.673202   9727027.138684        0.000000 || -19600654.011585  13691982.195842  11782850.540636 ||        0.458518         2.531842  20281089.480104 
 -24859035.544012   9619177.151223        0.000000 || -19580579.557641  13651794.068416  11862952.421112 ||        0.461872         2.532741  20281308.435654 
 -24900740.526825   9511144.954150        0.000000 || -19560404.400588  13611324.630863  11942829.589415 ||        0.465221         2.533650  20281525.806406 
 -24941973.840154   9402932.597092        0.000000 || -19540130.063341  13570574.023378  12022480.536566 ||        0.468567         2.534569  20281741.585043 
 -24982734.711380   9294542.132984        0.000000 || -19519758.069492  13529542.396717  12101903.757878 ||        0.471908         2.535499  20281955.764265 
 -25023022.376764   9185975.618020        0.000000 || -19499289.943242  13488229.912206  12181097.752983 ||        0.475245         2.536439  20282168.336787 
 -25062836.081459   9077235.111624        0.000000 || -19478727.209336  13446636.741734  12260061.025863 ||        0.478579         2.537390  20282379.295347 
 -25102175.079523   8968322.676407        0.000000 || -19458071.392992  13404763.067758  12338792.084872 ||        0.481908         2.538352  20282588.632700 
 -25141038.633937   8859240.378131        0.000000 || -19437324.019835  13362609.083299  12417289.442767 ||        0.485233         2.539325  20282796.341619 
 -25179426.016610   8749990.285670        0.000000 || -19416486.615830  13320174.991946  12495551.616734 ||        0.488554         2.540308  20283002.414899 
 -25217336.508399   8640574.470975        0.000000 || -19395560.707213  13277461.007849  12573577.128414 ||        0.491871         2.541303  20283206.845355 
 -25254769.399117   8530995.009029        0.000000 || -19374547.820422  13234467.355719  12651364.503929 ||        0.495183         2.542309  20283409.625820 
 -25291723.987548   8421253.977816        0.000000 || -19353449.482032  13191194.270827  12728912.273912 ||        0.498491         2.543327  20283610.749151 
 -25328199.581457   8311353.458279        0.000000 || -19332267.218685  13147641.999002  12806218.973530 ||        0.501795         2.544356  20283810.208224 
 -25364195.497604   8201295.534281        0.000000 || -19311002.557025  13103810.796624  12883283.142513 ||        0.505094         2.545396  20284007.995939 
 -25399711.061756   8091082.292572        0.000000 || -19289657.023627  13059700.930624  12960103.325180 ||        0.508389         2.546449  20284204.105215 
 -25434745.608696   7980715.822741        0.000000 || -19268232.144930  13015312.678478  13036678.070464 ||        0.511679         2.547513  20284398.528995 
 -25469298.482238   7870198.217188        0.000000 || -19246729.447172  12970646.328206  13113005.931940 ||        0.514964         2.548589  20284591.260245 
 -25503369.035237   7759531.571078        0.000000 || -19225150.456319  12925702.178360  13189085.467850 ||        0.518245         2.549677  20284782.291954 
 -25536956.629600   7648717.982307        0.000000 || -19203496.698001  12880480.538027  13264915.241129 ||        0.521522         2.550778  20284971.617135 
 -25570060.636300   7537759.551460        0.000000 || -19181769.697439  12834981.726817  13340493.819434 ||        0.524793         2.551891  20285159.228822 
 -25602680.435380   7426658.381776        0.000000 || -19159970.979385  12789206.074861  13415819.775164 ||        0.528060         2.553016  20285345.120078 
 -25634815.415973   7315416.579104        0.000000 || -19138102.068047  12743153.922801  13490891.685492 ||        0.531322         2.554154  20285529.283987 
 -25666464.976305   7204036.251871        0.000000 || -19116164.487026  12696825.621785  13565708.132387 ||        0.534578         2.555304  20285711.713659 
 -25697628.523710   7092519.511039        0.000000 || -19094159.759248  12650221.533458  13640267.702644 ||        0.537830         2.556468  20285892.402231 
 -25728305.474638   6980868.470065        0.000000 || -19072089.406897  12603342.029958  13714568.987901 ||        0.541077         2.557644  20286071.342863 
 -25758495.254668   6869085.244867        0.000000 || -19049954.951344  12556187.493900  13788610.584675 ||        0.544319         2.558834  20286248.528743 
 -25788197.298513   6757171.953782        0.000000 || -19027757.913084  12508758.318377  13862391.094379 ||        0.547556         2.560036  20286423.953086 
 -25817411.050036   6645130.717526        0.000000 || -19005499.811670  12461054.906940  13935909.123354 ||        0.550787         2.561252  20286597.609133 
 -25846135.962256   6532963.659157        0.000000 || -18983182.165640  12413077.673599  14009163.282888 ||        0.554014         2.562482  20286769.490152 
 -25874371.497357   6420672.904038        0.000000 || -18960806.492455  12364827.042805  14082152.189246 ||        0.557235         2.563725  20286939.589439 
 -25902117.126699   6308260.579791        0.000000 || -18938374.308428  12316303.449442  14154874.463693 ||        0.560450         2.564981  20287107.900320 
 -25929372.330829   6195728.816267        0.000000 || -18915887.128663  12267507.338819  14227328.732520 ||        0.563660         2.566252  20287274.416147 
 -25956136.599485   6083079.745500        0.000000 || -18893346.466982  12218439.166651  14299513.627066 ||        0.566865         2.567537  20287439.130301 
 -25982409.431609   5970315.501672        0.000000 || -18870753.835861  12169099.399058  14371427.783747 ||        0.570064         2.568835  20287602.036194 
 -26008190.335356   5857438.221070        0.000000 || -18848110.746363  12119488.512542  14443069.844078 ||        0.573258         2.570148  20287763.127265 
 -26033478.828098   5744450.042051        0.000000 || -18825418.708072  12069606.993981  14514438.454699 ||        0.576446         2.571476  20287922.396987 
 -26058274.436439   5631353.105000        0.000000 || -18802679.229026  12019455.340615  14585532.267397 ||        0.579628         2.572818  20288079.838859 
 -26082576.696218   5518149.552291        0.000000 || -18779893.815648  11969034.060028  14656349.939134 ||        0.582805         2.574174  20288235.446413 
 -26106385.152518   5404841.528250        0.000000 || -18757063.972686  11918343.670142  14726890.132070 ||        0.585975         2.575546  20288389.213212 
 -26129699.359677   5291431.179112        0.000000 || -18734191.203138  11867384.699194  14797151.513585 ||        0.589140         2.576932  20288541.132851 
 -26152518.881293   5177920.652985        0.000000 || -18711277.008195  11816157.685727  14867132.756306 ||        0.592298         2.578333  20288691.198955 
 -26174843.290231   5064312.099809        0.000000 || -18688322.887167  11764663.178573  14936832.538130 ||        0.595451         2.579750  20288839.405183 
 -26196672.168633   4950607.671316        0.000000 || -18665330.337421  11712901.736837  15006249.542250 ||        0.598598         2.581182  20288985.745227 
 -26218005.107923   4836809.520994        0.000000 || -18642300.854317  11660873.929881  15075382.457173 ||        0.601738         2.582629  20289130.212810 
 -26238841.708816   4722919.804041        0.000000 || -18619235.931136  11608580.337307  15144229.976750 ||        0.604872         2.584093  20289272.801690 
 -26259181.581323   4608940.677333        0.000000 || -18596137.059020  11556021.548941  15212790.800199 ||        0.608000         2.585571  20289413.505658 
 -26279024.344760   4494874.299379        0.000000 || -18573005.726906  11503198.164815  15281063.632125 ||        0.611121         2.587066  20289552.318540 
 -26298369.627753   4380722.830285        0.000000 || -18549843.421454  11450110.795151  15349047.182545 ||        0.614236         2.588577  20289689.234196 
 -26317217.068244   4266488.431713        0.000000 || -18526651.626993  11396760.060340  15416740.166914 ||        0.617345         2.590104  20289824.246521 
 -26335566.313500   4152173.266838        0.000000 || -18503431.825443  11343146.590922  15484141.306144 ||        0.620447         2.591648  20289957.349445 
 -26353417.020115   4037779.500317        0.000000 || -18480185.496261  11289271.027574  15551249.326630 ||        0.623542         2.593208  20290088.536933 
 -26370768.854021   3923309.298239        0.000000 || -18456914.116369  11235134.021083  15618062.960275 ||        0.626630         2.594784  20290217.802988 
 -26387621.490489   3808764.828096        0.000000 || -18433619.160092  11180736.232330  15684580.944508 ||        0.629712         2.596378  20290345.141648 
 -26403974.614138   3694148.258732        0.000000 || -18410302.099092  11126078.332267  15750802.022309 ||        0.632787         2.597988  20290470.546988 
 -26419827.918940   3579461.760313        0.000000 || -18386964.402305  11071161.001901  15816724.942234 ||        0.635855         2.599616  20290594.013120 
 -26435181.108222   3464707.504282        0.000000 || -18363607.535874  11015984.932268  15882348.458435 ||        0.638915         2.601260  20290715.534193 
 -26450033.894677   3349887.663322        0.000000 || -18340232.963087  10960550.824412  15947671.330686 ||        0.641969         2.602923  20290835.104396 
 -26464386.000363   3235004.411313        0.000000 || -18316842.144313  10904859.389367  16012692.324399 ||        0.645016         2.604602  20290952.717954 
 -26478237.156713   3120059.923295        0.000000 || -18293436.536936  10848911.348129  16077410.210653 ||        0.648055         2.606300  20291068.369130 
 -26491587.104536   3005056.375428        0.000000 || -18270017.595291  10792707.431638  16141823.766215 ||        0.651087         2.608015  20291182.052230 
 -26504435.594024   2889995.944950        0.000000 || -18246586.770602  10736248.380752  16205931.773560 ||        0.654111         2.609748  20291293.761595 
 -26516782.384753   2774880.810141        0.000000 || -18223145.510919  10679534.946224  16269733.020892 ||        0.657128         2.611499  20291403.491608 
 -26528627.245692   2659713.150280        0.000000 || -18199695.261050  10622567.888677  16333226.302172 ||        0.660138         2.613269  20291511.236690 
 -26539969.955202   2544495.145604        0.000000 || -18176237.462504  10565347.978583  16396410.417135 ||        0.663139         2.615057  20291616.991306 
 -26550810.301044   2429228.977273        0.000000 || -18152773.553423  10507875.996234  16459284.171311 ||        0.666133         2.616864  20291720.749959 
 -26561148.080380   2313916.827326        0.000000 || -18129304.968520  10450152.731718  16521846.376051 ||        0.669120         2.618689  20291822.507193 
 -26570983.099779   2198560.878643        0.000000 || -18105833.139018  10392178.984895  16584095.848547 ||        0.672098         2.620534  20291922.257595 
 -26580315.175216   2083163.314903        0.000000 || -18082359.492585  10333955.565369  16646031.411850 ||        0.675068         2.622397  20292019.995793 
 -26589144.132081   1967726.320548        0.000000 || -18058885.453274  10275483.292462  16707651.894896 ||        0.678030         2.624280  20292115.716458 
 -26597469.805178   1852252.080738        0.000000 || -18035412.441459  10216762.995188  16768956.132525 ||        0.680984         2.626182  20292209.414302 
 -26605292.038727   1736742.781316        0.000000 || -18011941.873772  10157795.512223  16829942.965505 ||        0.683930         2.628104  20292301.084082 
 -26612610.686373   1621200.608765        0.000000 || -17988475.163043  10098581.691881  16890611.240547 ||        0.686868         2.630045  20292390.720597 
 -26619425.611179   1505627.750167        0.000000 || -17965013.718236  10039122.392084  16950959.810333 ||        0.689797         2.632007  20292478.318690 
 -26625736.685639   1390026.393167        0.000000 || -17941558.944390   9979418.480334  17010987.533533 ||        0.692717         2.633988  20292563.873247 
 -26631543.791670   1274398.725930        0.000000 || -17918112.242557   9919470.833681  17070693.274825 ||        0.695629         2.635990  20292647.379201 
 -26636846.820621   1158746.937102        0.000000 || -17894675.009737   9859280.338700  17130075.904920 ||        0.698532         2.638011  20292728.831527 
 -26641645.673275   1043073.215769        0.000000 || -17871248.638823   9798847.891456  17189134.300577 ||        0.701427         2.640054  20292808.225246 
 -26645940.259844    927379.751420        0.000000 || -17847834.518535   9738174.397475  17247867.344628 ||        0.704312         2.642117  20292885.555424 
 -26649730.499978    811668.733901        0.000000 || -17824434.033361   9677260.771715  17306273.925997 ||        0.707188         2.644201  20292960.817175 
 -26653016.322763    695942.353383        0.000000 || -17801048.563499   9616107.938535  17364352.939718 ||        0.710056         2.646305  20293034.005655 
 -26655797.666722    580202.800314        0.000000 || -17777679.484793   9554716.831662  17422103.286958 ||        0.712914         2.648431  20293105.116071 
 -26658074.479817    464452.265386        0.000000 || -17754328.168673   9493088.394160  17479523.875038 ||        0.715763         2.650579  20293174.143672 
 -26659846.719451    348692.939489        0.000000 || -17730995.982100   9431223.578400  17536613.617448 ||        0.718603         2.652747  20293241.083759 
 -26661114.352465    232927.013675        0.000000 || -17707684.287499   9369123.346025  17593371.433871 ||        0.721433         2.654938  20293305.931677 
 -26661877.355143    117156.679117        0.000000 || -17684394.442706   9306788.667918  17649796.250203 ||        0.724253         2.657150  20293368.682820 
 -26662135.713209      1384.127067        0.000000 || -17661127.800904   9244220.524168  17705886.998569 ||        0.727064         2.659384  20293429.332630 
 -26661889.421830   -114388.451181        0.000000 || -17637885.710568   9181419.904040  17761642.617346 ||        0.729865         2.661640  20293487.876597 
 -26661138.485614   -230158.864333        0.000000 || -17614669.515402   9118387.805935  17817062.051181 ||        0.732656         2.663918  20293544.310261 
 -26659882.918610   -345924.921135        0.000000 || -17591480.554285   9055125.237363  17872144.251010 ||        0.735437         2.666219  20293598.629210 
 -26658122.744308   -461684.430412        0.000000 || -17568320.161208   8991633.214901  17926888.174077 ||        0.738208         2.668542  20293650.829082 
 -26655857.995643   -577435.201109        0.000000 || -17545189.665219   8927912.764163  17981292.783956 ||        0.740969         2.670888  20293700.905565 
 -26653088.714984   -693175.042331        0.000000 || -17522090.390362   8863964.919762  18035357.050565 ||        0.743720         2.673257  20293748.854397 
 -26649814.954146   -808901.763382        0.000000 || -17499023.655623   8799790.725276  18089079.950189 ||        0.746460         2.675649  20293794.671364 
 -26646036.774378   -924613.173806        0.000000 || -17475990.774872   8735391.233209  18142460.465495 ||        0.749189         2.678064  20293838.352308 
 -26641754.246370  -1040307.083427        0.000000 || -17452993.056801   8670767.504958  18195497.585557 ||        0.751908         2.680503  20293879.893117 
 -26636967.450246  -1155981.302388        0.000000 || -17430031.804873   8605920.610774  18248190.305866 ||        0.754616         2.682965  20293919.289734 
 -26631676.475566  -1271633.641194        0.000000 || -17407108.317261   8540851.629724  18300537.628355 ||        0.757314         2.685450  20293956.538151 
 -26625881.421325  -1387261.910746        0.000000 || -17384223.886794   8475561.649653  18352538.561415 ||        0.760000         2.687960  20293991.634413 
 -26619582.395947  -1502863.922389        0.000000 || -17361379.800899   8410051.767152  18404192.119912 ||        0.762675         2.690493  20294024.574618 
 -26612779.517289  -1618437.487945        0.000000 || -17338577.341546   8344323.087508  18455497.325207 ||        0.765339         2.693051  20294055.354917 
 -26605472.912633  -1733980.419758        0.000000 || -17315817.785193   8278376.724678  18506453.205173 ||        0.767992         2.695633  20294083.971513 
 -26597662.718689  -1849490.530729        0.000000 || -17293102.402726   8212213.801240  18557058.794215 ||        0.770633         2.698239  20294110.420662 
 -26589349.081588  -1964965.634362        0.000000 || -17270432.459409   8145835.448359  18607313.133282 ||        0.773263         2.700870  20294134.698674 
 -26580532.156884  -2080403.544799        0.000000 || -17247809.214828   8079242.805744  18657215.269891 ||        0.775881         2.703526  20294156.801913 
 -26571212.109547  -2195802.076861        0.000000 || -17225233.922832   8012437.021612  18706764.258143 ||        0.778487         2.706206  20294176.726798 
 -26561389.113965  -2311159.046091        0.000000 || -17202707.831483   7945419.252641  18755959.158736 ||        0.781082         2.708911  20294194.469802 
 -26551063.353935  -2426472.268789        0.000000 || -17180232.183001   7878190.663937  18804799.038987 ||        0.783664         2.711642  20294210.027451 
 -26540235.022664  -2541739.562056        0.000000 || -17157808.213706   7810752.428984  18853282.972850 ||        0.786234         2.714398  20294223.396328 
 -26528904.322765  -2656958.743833        0.000000 || -17135437.153971   7743105.729609  18901410.040927 ||        0.788792         2.717179  20294234.573073 
 -26517071.466253  -2772127.632940        0.000000 || -17113120.228162   7675251.755939  18949179.330491 ||        0.791337         2.719986  20294243.554377 
 -26504736.674541  -2887244.049114        0.000000 || -17090858.654588   7607191.706357  18996589.935501 ||        0.793870         2.722819  20294250.336992 
 -26491900.178437  -3002305.813054        0.000000 || -17068653.645448   7538926.787457  19043640.956616 ||        0.796390         2.725677  20294254.917723 
 -26478562.218139  -3117310.746457        0.000000 || -17046506.406778   7470458.214009  19090331.501215 ||        0.798897         2.728561  20294257.293432 
 -26464723.043232  -3232256.672058        0.000000 || -17024418.138398   7401787.208905  19136660.683414 ||        0.801392         2.731472  20294257.461039 
 -26450382.912681  -3347141.413672        0.000000 || -17002390.033860   7332915.003126  19182627.624077 ||        0.803873         2.734409  20294255.417521 
 -26435542.094831  -3461962.796231        0.000000 || -16980423.280396   7263842.835690  19228231.450840 ||        0.806341         2.737372  20294251.159912 
 -26420200.867398  -3576718.645827        0.000000 || -16958519.058869   7194571.953610  19273471.298118 ||        0.808796         2.740361  20294244.685303 
 -26404359.517467  -3691406.789747        0.000000 || -16936678.543716   7125103.611851  19318346.307131 ||        0.811238         2.743378  20294235.990844 
 -26388018.341485  -3806025.056520        0.000000 || -16914902.902903   7055439.073285  19362855.625912 ||        0.813665         2.746421  20294225.073742 
 -26371177.645257  -3920571.275948        0.000000 || -16893193.297871   6985579.608643  19406998.409327 ||        0.816079         2.749490  20294211.931265 
 -26353837.743942  -4035043.279153        0.000000 || -16871550.883486   6915526.496469  19450773.819086 ||        0.818479         2.752587  20294196.560737 
 -26335998.962044  -4149438.898613        0.000000 || -16849976.807989   6845281.023079  19494181.023767 ||        0.820865         2.755711  20294178.959543 
 -26317661.633408  -4263755.968203        0.000000 || -16828472.212947   6774844.482510  19537219.198822 ||        0.823237         2.758862  20294159.125126 
 -26298826.101217  -4377992.323234        0.000000 || -16807038.233203   6704218.176474  19579887.526598 ||        0.825595         2.762041  20294137.054989 
 -26279492.717981  -4492145.800492        0.000000 || -16785675.996824   6633403.414313  19622185.196351 ||        0.827938         2.765246  20294112.746696 
 -26259661.845534  -4606214.238279        0.000000 || -16764386.625057   6562401.512951  19664111.404261 ||        0.830267         2.768480  20294086.197869 
 -26239333.855029  -4720195.476453        0.000000 || -16743171.232278   6491213.796843  19705665.353444 ||        0.832581         2.771740  20294057.406192 
 -26218509.126927  -4834087.356465        0.000000 || -16722030.925941   6419841.597933  19746846.253973 ||        0.834880         2.775029  20294026.369409 
 -26197188.050995  -4947887.721401        0.000000 || -16700966.806534   6348286.255601  19787653.322887 ||        0.837164         2.778345  20293993.085324 
 -26175371.026294  -5061594.416020        0.000000 || -16679979.967531   6276549.116618  19828085.784208 ||        0.839433         2.781689  20293957.551805 
 -26153058.461180  -5175205.286794        0.000000 || -16659071.495341   6204631.535092  19868142.868956 ||        0.841687         2.785062  20293919.766778 
 -26130250.773289  -5288718.181948        0.000000 || -16638242.469264   6132534.872425  19907823.815161 ||        0.843925         2.788462  20293879.728232 
 -26106948.389532  -5402130.951499        0.000000 || -16617493.961444   6060260.497261  19947127.867880 ||        0.846148         2.791890  20293837.434219 
 -26083151.746091  -5515441.447296        0.000000 || -16596827.036821   5987809.785432  19986054.279210 ||        0.848355         2.795346  20293792.882850 
 -26058861.288408  -5628647.523057        0.000000 || -16576242.753086   5915184.119917  20024602.308300 ||        0.850546         2.798831  20293746.072302 
 -26034077.471178  -5741747.034411        0.000000 || -16555742.160636   5842384.890782  20062771.221368 ||        0.852721         2.802344  20293697.000812 
 -26008800.758339  -5854737.838936        0.000000 || -16535326.302525   5769413.495136  20100560.291713 ||        0.854879         2.805885  20293645.666681 
 -25983031.623069  -5967617.796199        0.000000 || -16514996.214423   5696271.337077  20137968.799729 ||        0.857022         2.809455  20293592.068272 
 -25956770.547773  -6080384.767796        0.000000 || -16494752.924570   5622959.827643  20174996.032919 ||        0.859148         2.813053  20293536.204012 
 -25930018.024078  -6193036.617387        0.000000 || -16474597.453727   5549480.384756  20211641.285906 ||        0.861257         2.816680  20293478.072391 
 -25902774.552821  -6305571.210740        0.000000 || -16454530.815141   5475834.433175  20247903.860450 ||        0.863350         2.820335  20293417.671965 
 -25875040.644042  -6417986.415771        0.000000 || -16434554.014490   5402023.404442  20283783.065457 ||        0.865425         2.824019  20293355.001349 
 -25846816.816978  -6530280.102576        0.000000 || -16414668.049851   5328048.736828  20319278.216996 ||        0.867484         2.827731  20293290.059227 
 -25818103.600047  -6642450.143477        0.000000 || -16394873.911645   5253911.875285  20354388.638309 ||        0.869525         2.831472  20293222.844345 
 -25788901.530846  -6754494.413058        0.000000 || -16375172.582605   5179614.271386  20389113.659824 ||        0.871549         2.835241  20293153.355513 
 -25759211.156137  -6866410.788206        0.000000 || -16355565.037726   5105157.383278  20423452.619171 ||        0.873555         2.839040  20293081.591608 
 -25729033.031839  -6978197.148148        0.000000 || -16336052.244225   5030542.675625  20457404.861187 ||        0.875544         2.842866  20293007.551569 
 -25698367.723019  -7089851.374489        0.000000 || -16316635.161501   4955771.619556  20490969.737939 ||        0.877515         2.846722  20292931.234403 
 -25667215.803881  -7201371.351254        0.000000 || -16297314.741090   4880845.692609  20524146.608725 ||        0.879467         2.850606  20292852.639180 
 -25635577.857756  -7312754.964925        0.000000 || -16278091.926629   4805766.378678  20556934.840094 ||        0.881402         2.854519  20292771.765038 
 -25603454.477093  -7424000.104482        0.000000 || -16258967.653808   4730535.167959  20589333.805857 ||        0.883318         2.858460  20292688.611178 
 -25570846.263446  -7535104.661436        0.000000 || -16239942.850337   4655153.556894  20621342.887094 ||        0.885216         2.862430  20292603.176870 
 -25537753.827468  -7646066.529875        0.000000 || -16221018.435901   4579623.048115  20652961.472172 ||        0.887095         2.866428  20292515.461446 
 -25504177.788897  -7756883.606498        0.000000 || -16202195.322120   4503945.150390  20684188.956751 ||        0.888955         2.870455  20292425.464309 
 -25470118.776543  -7867553.790656        0.000000 || -16183474.412514   4428121.378569  20715024.743800 ||        0.890796         2.874510  20292333.184925 
 -25435577.428283  -7978074.984388        0.000000 || -16164856.602459   4352153.253523  20745468.243606 ||        0.892618         2.878594  20292238.622829 
 -25400554.391046  -8088445.092464        0.000000 || -16146342.779154   4276042.302093  20775518.873787 ||        0.894421         2.882705  20292141.777620 
 -25365050.320802  -8198662.022418        0.000000 || -16127933.821574   4199790.057030  20805176.059299 ||        0.896204         2.886846  20292042.648967 
 -25329065.882551  -8308723.684590        0.000000 || -16109630.600442   4123398.056941  20834439.232453 ||        0.897968         2.891014  20291941.236604 
 -25292601.750311  -8418627.992165        0.000000 || -16091433.978183   4046867.846230  20863307.832920 ||        0.899712         2.895210  20291837.540335 
 -25255658.607107  -8528372.861209        0.000000 || -16073344.808894   3970200.975041  20891781.307747 ||        0.901436         2.899435  20291731.560028 
 -25218237.144959  -8637956.210710        0.000000 || -16055363.938300   3893398.999204  20919859.111363 ||        0.903140         2.903687  20291623.295621 
 -25180338.064868  -8747375.962612        0.000000 || -16037492.203722   3816463.480170  20947540.705592 ||        0.904823         2.907967  20291512.747120 
 -25141962.076808  -8856630.041859        0.000000 || -16019730.434042   3739395.984961  20974825.559663 ||        0.906487         2.912274  20291399.914597 
 -25103109.899707  -8965716.376428        0.000000 || -16002079.449662   3662198.086108  21001713.150220 ||        0.908129         2.916610  20291284.798195 
 -25063782.261441  -9074632.897371        0.000000 || -15984540.062474   3584871.361591  21028202.961333 ||        0.909751         2.920972  20291167.398122 
 -25023979.898819  -9183377.538851        0.000000 || -15967113.075821   3507417.394786  21054294.484506 ||        0.911352         2.925362  20291047.714658 
 -24983703.557567  -9291948.238181        0.000000 || -15949799.284465   3429837.774400  21079987.218687 ||        0.912933         2.929779  20290925.748149 
 -24942953.992319  -9400342.935861        0.000000 || -15932599.474551   3352134.094414  21105280.670281 ||        0.914491         2.934222  20290801.499010 
 -24901731.966603  -9508559.575618        0.000000 || -15915514.423576   3274307.954026  21130174.353156 ||        0.916029         2.938693  20290674.967726 
 -24860038.252827  -9616596.104440        0.000000 || -15898544.900350   3196360.957590  21154667.788653 ||        0.917545         2.943190  20290546.154849 
 -24817873.632263  -9724450.472620        0.000000 || -15881691.664968   3118294.714555  21178760.505597 ||        0.919040         2.947714  20290415.061004 
 -24775238.895038  -9832120.633787        0.000000 || -15864955.468776   3040110.839406  21202452.040305 ||        0.920512         2.952263  20290281.686880 
 -24732134.840118  -9939604.544949        0.000000 || -15848337.054337   2961810.951603  21225741.936593 ||        0.921963         2.956839  20290146.033240 
 -24688562.275294  -10046900.166527        0.000000 || -15831837.155400   2883396.675525  21248629.745791 ||        0.923392         2.961441  20290008.100913 
 -24644522.017167  -10154005.462397        0.000000 || -15815456.496870   2804869.640401  21271115.026745 ||        0.924798         2.966068  20289867.890801 
 -24600014.891135  -10260918.399923        0.000000 || -15799195.794774   2726231.480259  21293197.345828 ||        0.926182         2.970720  20289725.403873 
 -24555041.731377  -10367636.949997        0.000000 || -15783055.756231   2647483.833858  21314876.276952 ||        0.927543         2.975398  20289580.641168 
 -24509603.380840  -10474159.087076        0.000000 || -15767037.079422   2568628.344627  21336151.401571 ||        0.928882         2.980100  20289433.603797 
 -24463700.691225  -10580482.789219        0.000000 || -15751140.453563   2489666.660609  21357022.308693 ||        0.930198         2.984827  20289284.292939 
 -24417334.522970  -10686606.038125        0.000000 || -15735366.558869   2410600.434393  21377488.594885 ||        0.931491         2.989578  20289132.709845 
 -24370505.745234  -10792526.819172        0.000000 || -15719716.066528   2331431.323058  21397549.864286 ||        0.932761         2.994353  20288978.855833 
 -24323215.235885  -10898243.121450        0.000000 || -15704189.638676   2252160.988106  21417205.728609 ||        0.934007         2.999152  20288822.732296 
 -24275463.881483  -11003752.937801        0.000000 || -15688787.928360   2172791.095402  21436455.807153 ||        0.935230         3.003975  20288664.340693 
 -24227252.577263  -11109054.264857        0.000000 || -15673511.579517   2093323.315113  21455299.726808 ||        0.936430         3.008820  20288503.682557 
 -24178582.227122  -11214145.103075        0.000000 || -15658361.226946   2013759.321643  21473737.122064 ||        0.937606         3.013689  20288340.759489 
 -24129453.743603  -11319023.456775        0.000000 || -15643337.496275   1934100.793572  21491767.635019 ||        0.938758         3.018580  20288175.573162 
 -24079868.047874  -11423687.334176        0.000000 || -15628441.003940   1854349.413592  21509390.915382 ||        0.939886         3.023493  20288008.125320 
 -24029826.069720  -11528134.747435        0.000000 || -15613672.357157   1774506.868444  21526606.620488 ||        0.940990         3.028427  20287838.417778 
