Name,Code,Org_Latitude,Org_Longitude,Org_Altitude,Correct_Latitude,Correct_Longitude,Correct_Altitude,Latitude,Longitude,Altitude,AntennaHeight,Northing,Easting,Height,State,Satellite_Lock,Satellite_View,PDOP,HRMS,VRMS,Age,Date,Time,Base_ID,Base_Latitude,Base_Longitude,Base_Altitude,Base_Distance,CompensationMode,InclineAngle,AzimuthAngle,Correct_n,Correct_e,Correct_h
1,,045d28m39.6999720000s,009d13m32.8803960000s,161.983,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6999720000s,009d13m32.8803960000s,159.967,2.016,5036043.220,517648.004,159.967,FIXED,25,37,1.130,0.015,0.017,1.0,2023-11-13,12:19:37,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.912,0,0.00000000,270.00000000,0.000,0.000,0.000
2,,045d28m39.6998700000s,009d13m32.8804380000s,161.992,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6998700000s,009d13m32.8804380000s,159.976,2.016,5036043.217,517648.005,159.976,FIXED,25,37,1.130,0.014,0.017,0.0,2023-11-13,12:19:39,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.911,0,0.00000000,270.00000000,0.000,0.000,0.000
3,,045d28m39.6999240000s,009d13m32.8804860000s,161.996,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6999240000s,009d13m32.8804860000s,159.980,2.016,5036043.218,517648.006,159.980,FIXED,25,36,1.130,0.014,0.017,0.0,2023-11-13,12:19:40,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.909,0,0.00000000,270.00000000,0.000,0.000,0.000
4,,045d28m39.6998040000s,009d13m32.8804860000s,161.991,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6998040000s,009d13m32.8804860000s,159.975,2.016,5036043.215,517648.006,159.975,FIXED,25,36,1.130,0.014,0.017,0.0,2023-11-13,12:19:41,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.911,0,0.00000000,270.00000000,0.000,0.000,0.000
5,,045d28m39.6997800000s,009d13m32.8805640000s,161.985,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6997800000s,009d13m32.8805640000s,159.969,2.016,5036043.214,517648.007,159.969,FIXED,25,37,1.130,0.014,0.017,0.0,2023-11-13,12:19:42,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.910,0,0.00000000,270.00000000,0.000,0.000,0.000
6,,045d28m39.6998940000s,009d13m32.8809180000s,161.981,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6998940000s,009d13m32.8809180000s,159.965,2.016,5036043.218,517648.015,159.965,FIXED,25,37,1.130,0.014,0.017,0.0,2023-11-13,12:19:43,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.902,0,0.00000000,270.00000000,0.000,0.000,0.000
7,,045d28m39.6996720000s,009d13m32.8807680000s,161.985,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6996720000s,009d13m32.8807680000s,159.969,2.016,5036043.211,517648.012,159.969,FIXED,25,37,1.130,0.014,0.017,0.0,2023-11-13,12:19:44,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.906,0,0.00000000,270.00000000,0.000,0.000,0.000
8,,045d28m39.6996780000s,009d13m32.8809660000s,161.986,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6996780000s,009d13m32.8809660000s,159.970,2.016,5036043.211,517648.016,159.970,FIXED,25,37,1.130,0.014,0.017,0.0,2023-11-13,12:19:45,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.902,0,0.00000000,270.00000000,0.000,0.000,0.000
9,,045d28m39.6997800000s,009d13m32.8811340000s,161.985,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6997800000s,009d13m32.8811340000s,159.969,2.016,5036043.214,517648.020,159.969,FIXED,25,37,1.130,0.014,0.017,0.0,2023-11-13,12:19:46,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.898,0,0.00000000,270.00000000,0.000,0.000,0.000
10,,045d28m39.7000440000s,009d13m32.8803000000s,161.979,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7000440000s,009d13m32.8803000000s,159.963,2.016,5036043.222,517648.002,159.963,FIXED,25,37,1.130,0.014,0.017,0.0,2023-11-13,12:19:47,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.914,0,0.00000000,270.00000000,0.000,0.000,0.000
